,moblie,price,storage
0,"REDMI Note 10S (Deep Sea Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
1,"realme 9 5G (Meteor Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
2,"realme 9 5G (Stargaze White, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>"
3,GREENBERRI VIRAT,"<div class=""_30jeq3 _1_WHN1"">₹799</div>","<li class=""rgWa7D"">64 MB RAM | 64 MB ROM | Expandable Upto 32 GB</li>"
4,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,499</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
5,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,499</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
6,"realme 9 5G (Stargaze White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
7,"REDMI Note 10S (Cosmic Purple, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
8,"POCO C31 (Royal Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
9,"Infinix HOT 12 Play (Daylight Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>"
10,"realme 9 5G (Meteor Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>"
11,"REDMI Note 10S (Frost White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
12,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,499</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
13,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>"
14,"REDMI 10 (Pacific Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
15,"REDMI 9i Sport (Coral Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,799</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
16,"realme C35 (Glowing Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
17,"REDMI 9i Sport (Metallic Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,799</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
18,"realme C35 (Glowing Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>"
19,"REDMI Note 10S (Shadow Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>"
20,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>"
21,"Infinix HOT 12 Play (Racing Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>"
22,"POCO C31 (Royal Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM | Expandable Upto 512 GB</li>"
23,"realme Narzo 50A (Oxygen Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹11,649</div>","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>"
